"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Логин","3","0","Пользователь входит в систему","0"
"0","","0","Логин","2","0","Пользователь выходит из системы","0"
